fecha|hora|magnitud|profundidad|provincia
2018/06/27|16:12:10|3.7|10.14|Galapagos 
2018/06/27|15:10:43|2.8|7.91|Galapagos 
2018/06/27|14:19:33|3.2|5.83|Galapagos 
2018/06/27|14:17:04|2.8|2.62|Galapagos 
2018/06/27|11:18:54|3|-0.77|Galapagos 
2018/06/27|11:02:23|3.1|5.00|Galapagos 
2018/06/27|10:46:00|2.9|4.06|Galapagos 
2018/06/27|10:30:46|3.1|0.80|Galapagos 
2018/06/27|09:34:26|3.2|2.00|Galapagos 
2018/06/27|08:27:40|3.2|7.38|Galapagos 
2018/06/27|07:08:17|3.6|10.00|Guayas 
2018/06/27|06:23:29|3.3|4.34|Galapagos 
2018/06/27|01:58:00|2.8|5.00|Galapagos 
2018/06/26|14:54:14|3.8|23.96|Galapagos 
2018/06/26|14:38:02|4.2|5.00|Galapagos 
2018/06/26|14:31:41|3.8|5.86|Galapagos 
2018/06/26|14:22:12|3.2|0.09|Galapagos 
2018/06/26|13:08:07|3.9|5.51|Galapagos 
2018/06/26|13:06:29|3.9|5.75|Galapagos 
2018/06/26|13:04:33|4|1.06|Galapagos 
2018/06/26|13:01:30|3.6|0.15|Galapagos 
2018/06/26|13:02:05|3.8|3.58|Galapagos 
2018/06/26|12:53:06|3.9|5.03|Galapagos 
2018/06/26|12:46:23|3.5|9.41|Galapagos 
2018/06/26|12:50:16|4.6|5.93|Galapagos 
2018/06/26|12:41:44|3.7|5.65|Galapagos 
2018/06/26|04:10:24|3.6|7.79|Galapagos 
2018/06/26|04:15:32|5.3|6.39|Galapagos 
2018/06/26|02:02:20|3.7|9.29|Manabi 
2018/06/25|14:03:31|3.6|87.56|Chimborazo 
2018/06/22|07:24:08|4.4|6.83|Galapagos 
2018/06/18|18:23:28|3.2|3.81|Galapagos 
2018/06/16|11:33:22|3.2|8.51|Galapagos 
2018/06/16|11:07:16|3.4|7.93|Galapagos 
2018/06/16|10:46:54|3.3|3.89|Galapagos 
2018/06/16|10:31:02|2.9|10.93|Galapagos 
2018/06/16|10:16:35|2.9|6.00|Galapagos 
2018/06/16|10:22:55|4.1|3.93|Galapagos 
2018/06/16|09:51:54|3.1|6.71|Galapagos 
2018/06/16|09:51:54|3.1|6.71|Galapagos 
2018/06/16|09:51:54|2.9|6.71|Galapagos 
2018/06/16|09:55:14|3.6|7.21|Galapagos 
2018/06/15|16:53:49|3.9|65.36|Loja 
